CloneGroupType,X2,EachGroup_25Percentile,CloneGroupMax,CloneGroupMin,EachGroup_Mean,EachGroup_Median,CloneGroupVariance,EachGroup_SD,X10,ShanonEntropy,NorShanonEntropy,X13,X14
2171,Functions,5.25,6.00,5.00,5.50,5.50,0.50,0.7071068,2,1,0.9940302114769565,NA,NA
2172,Functions,3.00,218.00,1.00,74.67,5.00,15412.33,124.1464,3,1.584962500721156,0.12329516371269374,NA,NA
2173,Functions,2.25,3.00,2.00,2.50,2.50,0.50,0.7071068,2,1,0.9709505944546686,NA,NA
2174,Functions,2.50,17.00,0.00,7.33,5.00,76.33,8.736895,3,1.584962500721156,NaN,NA,NA
2175,Functions,93.00,93.00,93.00,93.00,93.00,0.00,0,2,-0,1,NA,NA
2176,Functions,4.00,7.00,3.00,5.00,5.00,8.00,2.828427,2,1,0.8812908992306927,NA,NA
2177,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
2178,Functions,1.00,8.00,1.00,4.50,4.50,16.33,4.041452,4,1,0.7516291673878228,NA,NA
2179,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
2180,Functions,4.00,10.00,2.00,6.00,6.00,32.00,5.656854,2,1,0.6500224216483541,NA,NA
2181,Functions,15.00,15.00,15.00,15.00,15.00,0.00,0,2,-0,1,NA,NA
2182,Functions,12.75,51.00,0.00,25.50,25.50,1300.50,36.06245,2,1,NaN,NA,NA
2183,Functions,12.75,51.00,0.00,25.50,25.50,1300.50,36.06245,2,1,NaN,NA,NA
2184,Functions,8.00,8.00,8.00,8.00,8.00,0.00,0,2,-0,1,NA,NA
2185,Functions,11.75,14.00,11.00,12.50,12.50,4.50,2.12132,2,1,0.9895875212220556,NA,NA
2186,Functions,3.00,3.00,3.00,3.00,3.00,0.00,0,2,-0,1,NA,NA
2187,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
2188,Functions,4.00,4.00,4.00,4.00,4.00,0.00,0,2,-0,1,NA,NA
2189,Functions,35.50,52.00,30.00,41.00,41.00,242.00,15.55635,2,1,0.9474351361840307,NA,NA
2190,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
2191,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
2192,Functions,1.50,3.00,1.00,2.00,2.00,2.00,1.414214,2,1,0.8112781244591328,NA,NA
2193,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
2194,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
2195,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
2196,Functions,4.75,16.00,1.00,8.50,8.50,112.50,10.6066,2,1,0.3227569588973982,NA,NA
2197,Functions,0.00,1.00,-1.00,0.20,0.00,0.70,0.83666,5,1.5219280948873621,NaN,NA,NA
2198,Functions,3.25,4.00,3.00,3.50,3.50,0.50,0.7071068,2,1,0.9852281360342515,NA,NA
2199,Functions,1.00,2.00,1.00,1.33,1.00,0.33,0.5773503,3,0.9182958340544896,0.9463946303571862,NA,NA
2200,Functions,1.00,2.00,1.00,1.33,1.00,0.33,0.5773503,3,0.9182958340544896,0.9463946303571862,NA,NA
2201,Functions,1.00,2.00,1.00,1.50,1.50,0.33,0.5773503,4,1,0.9591479170272448,NA,NA
2202,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
2203,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
2204,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
2205,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
2206,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
2207,Functions,1.00,2.00,1.00,1.33,1.00,0.33,0.5773503,3,0.9182958340544896,0.9463946303571862,NA,NA
2208,Functions,1.00,2.00,1.00,1.33,1.00,0.33,0.5773503,3,0.9182958340544896,0.9463946303571862,NA,NA
2209,Functions,1.00,2.00,1.00,1.33,1.00,0.33,0.5773503,3,0.9182958340544896,0.9463946303571862,NA,NA
2210,Functions,7.50,8.00,7.00,7.67,8.00,0.33,0.5773503,3,0.9182958340544896,0.9982526816976662,NA,NA
2211,Functions,1.50,3.00,1.00,2.00,2.00,2.00,1.414214,2,1,0.8112781244591328,NA,NA
2212,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
2213,Functions,2.50,4.00,2.00,3.00,3.00,2.00,1.414214,2,1,0.9182958340544896,NA,NA
2214,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
2215,Functions,2.50,4.00,1.00,3.00,4.00,3.00,1.732051,3,0.9182958340544896,0.8783471047618534,NA,NA
2216,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
2217,Functions,2.50,4.00,2.00,3.00,3.00,2.00,1.414214,2,1,0.9182958340544896,NA,NA
2218,Functions,2.25,3.00,2.00,2.50,2.50,0.50,0.7071068,2,1,0.9709505944546686,NA,NA
