CloneGroupType,X2,EachGroup_25Percentile,CloneGroupMax,CloneGroupMin,EachGroup_Mean,EachGroup_Median,CloneGroupVariance,EachGroup_SD,X10,ShanonEntropy,NorShanonEntropy,X13,X14
1392,Functions,0.50,2.00,0.00,1.00,1.00,1.00,1,3,1.584962500721156,NaN,NA,NA
1393,Functions,4.50,6.00,4.00,5.00,5.00,2.00,1.414214,2,1,0.9709505944546686,NA,NA
1394,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
1395,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
1396,Functions,4.50,6.00,4.00,5.00,5.00,2.00,1.414214,2,1,0.9709505944546686,NA,NA
1397,Functions,0.00,2.00,0.00,0.67,0.00,1.33,1.154701,3,0.9182958340544896,NaN,NA,NA
1398,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
1399,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
1400,Functions,1.50,6.00,0.00,3.00,3.00,18.00,4.242641,2,1,NaN,NA,NA
1401,Functions,3.00,7.00,2.00,4.33,4.00,6.33,2.516611,3,1.584962500721156,0.8956403056385981,NA,NA
1402,Functions,2.75,8.00,1.00,4.50,4.50,24.50,4.949747,2,1,0.5032583347756457,NA,NA
1403,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1404,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
1405,Functions,8.50,22.00,4.00,13.00,13.00,162.00,12.72792,2,1,0.6193821946787638,NA,NA
1406,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
1407,Functions,4.75,13.00,2.00,7.50,7.50,60.50,7.778175,2,1,0.5665095065529053,NA,NA
1408,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
1409,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
1410,Functions,1.50,2.00,0.00,1.50,2.00,1.00,1,4,0.8112781244591328,NaN,NA,NA
1411,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
1412,Functions,0.50,2.00,0.00,1.00,1.00,2.00,1.414214,2,1,NaN,NA,NA
1413,Functions,2.50,4.00,2.00,3.00,3.00,2.00,1.414214,2,1,0.9182958340544896,NA,NA
1414,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
1415,Functions,2.50,3.00,2.00,2.67,3.00,0.33,0.5773503,3,0.9182958340544896,0.985056822321508,NA,NA
1416,Functions,2.50,3.00,2.00,2.67,3.00,0.33,0.5773503,3,0.9182958340544896,0.985056822321508,NA,NA
1417,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
1418,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1419,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1420,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,4,-0,NaN,NA,NA
1421,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,8,-0,NaN,NA,NA
1422,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1423,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1424,Functions,0.50,1.00,0.00,0.67,1.00,0.33,0.5773503,3,0.9182958340544896,NaN,NA,NA
1425,Functions,1.25,5.00,0.00,2.50,2.50,12.50,3.535534,2,1,NaN,NA,NA
1426,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,4,-0,NaN,NA,NA
1427,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,3,-0,NaN,NA,NA
1428,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
1429,Functions,5.00,12.00,0.00,7.33,10.00,41.33,6.429101,3,1.584962500721156,NaN,NA,NA
1430,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1431,Functions,0.50,2.00,0.00,1.00,1.00,2.00,1.414214,2,1,NaN,NA,NA
1432,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1433,Functions,2.25,6.00,1.00,3.50,3.50,12.50,3.535534,2,1,0.5916727785823275,NA,NA
1434,Functions,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,0,2,-0,1,NA,NA
1435,Functions,1.00,4.00,0.00,2.00,2.00,8.00,2.828427,2,1,NaN,NA,NA
1436,Functions,2.50,4.00,2.00,3.00,3.00,2.00,1.414214,2,1,0.9182958340544896,NA,NA
1437,Functions,2.00,3.00,1.00,2.20,2.00,0.70,0.83666,5,1.5219280948873621,0.9609557933859342,NA,NA
1438,Functions,1.50,3.00,1.00,2.00,2.00,1.00,1,3,1.584962500721156,0.9206198357143051,NA,NA
1439,Functions,2.75,5.00,2.00,3.50,3.50,4.50,2.12132,2,1,0.863120568566631,NA,NA
1440,Functions,1.00,7.00,1.00,2.75,1.50,8.25,2.872281,4,1.5,0.7455574250275928,NA,NA
1441,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
1442,Functions,2.75,5.00,2.00,3.50,3.50,4.50,2.12132,2,1,0.863120568566631,NA,NA
1443,Functions,0.00,1.00,0.00,0.33,0.00,0.33,0.5773503,3,0.9182958340544896,NaN,NA,NA
1444,Functions,1.00,3.00,1.00,1.67,1.00,1.33,1.154701,3,0.9182958340544896,0.8649735207179273,NA,NA
1445,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
1446,Functions,9.75,21.00,6.00,13.50,13.50,112.50,10.6066,2,1,0.7642045065086203,NA,NA
1447,Functions,1.75,4.00,1.00,2.50,2.50,4.50,2.12132,2,1,0.7219280948873623,NA,NA
1448,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
1449,Functions,2.50,4.00,2.00,3.00,3.00,2.00,1.414214,2,1,0.9182958340544896,NA,NA
1450,Functions,5.25,12.00,3.00,7.50,7.50,40.50,6.363961,2,1,0.7219280948873623,NA,NA
1451,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
1452,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1453,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1454,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1455,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
1456,Functions,4.50,9.00,3.00,6.00,6.00,18.00,4.242641,2,1,0.8112781244591328,NA,NA
1457,Functions,3.75,6.00,3.00,4.50,4.50,4.50,2.12132,2,1,0.9182958340544896,NA,NA
1458,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,9,-0,1,NA,NA
1459,Functions,2.25,3.00,2.00,2.50,2.50,0.50,0.7071068,2,1,0.9709505944546686,NA,NA
1460,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
1461,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
1462,Functions,24.25,91.00,2.00,46.50,46.50,3960.50,62.9325,2,1,0.14981136747274792,NA,NA
1463,Functions,0.50,1.00,0.00,0.67,1.00,0.33,0.5773503,3,0.9182958340544896,NaN,NA,NA
1464,Functions,0.50,2.00,0.00,1.00,1.00,2.00,1.414214,2,1,NaN,NA,NA
1465,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
1466,Functions,2.00,4.00,2.00,2.67,2.00,1.33,1.154701,3,0.9182958340544896,0.9463946303571862,NA,NA
1467,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
1468,Functions,22.25,80.00,3.00,41.50,41.50,2964.50,54.44722,2,1,0.22432696034508792,NA,NA
1469,Functions,1.50,3.00,1.00,2.00,2.00,2.00,1.414214,2,1,0.8112781244591328,NA,NA
1470,Functions,2.75,5.00,2.00,3.50,3.50,4.50,2.12132,2,1,0.863120568566631,NA,NA
1471,Functions,2.50,4.00,2.00,3.00,3.00,2.00,1.414214,2,1,0.9182958340544896,NA,NA
1472,Functions,2.00,4.00,0.00,2.00,2.00,2.00,1.414214,5,1.3709505944546687,NaN,NA,NA
1473,Functions,7.25,8.00,7.00,7.50,7.50,0.50,0.7071068,2,1,0.9967916319816366,NA,NA
1474,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
1475,Functions,18.00,63.00,3.00,33.00,33.00,1800.00,42.42641,2,1,0.26676498780302604,NA,NA
1476,Functions,0.50,1.00,0.00,0.67,1.00,0.33,0.5773503,3,0.9182958340544896,NaN,NA,NA
1477,Functions,0.00,2.00,0.00,0.88,1.00,0.70,0.834523,8,1.561278124459133,NaN,NA,NA
1478,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1479,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1480,Functions,2.25,3.00,2.00,2.50,2.50,0.50,0.7071068,2,1,0.9709505944546686,NA,NA
1481,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
1482,Functions,4.25,5.00,4.00,4.50,4.50,0.50,0.7071068,2,1,0.9910760598382222,NA,NA
1483,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1484,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1485,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
1486,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1487,Functions,1.50,6.00,0.00,3.00,3.00,18.00,4.242641,2,1,NaN,NA,NA
1488,Functions,0.50,2.00,0.00,1.00,1.00,2.00,1.414214,2,1,NaN,NA,NA
1489,Functions,1.00,5.00,0.00,2.80,3.00,5.20,2.280351,5,1.9219280948873623,NaN,NA,NA
1490,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
1491,Functions,4.50,6.00,4.00,5.00,5.00,1.00,1,3,1.584962500721156,0.9877812438119246,NA,NA
1492,Functions,4.50,18.00,0.00,9.00,9.00,81.00,9,3,1.584962500721156,NaN,NA,NA
1493,Functions,0.00,9.00,0.00,3.00,0.00,27.00,5.196152,3,0.9182958340544896,NaN,NA,NA
1494,Functions,3.00,12.00,0.00,6.00,6.00,72.00,8.485281,2,1,NaN,NA,NA
1495,Functions,8.00,17.00,5.00,11.00,11.00,72.00,8.485281,2,1,0.7732266742876346,NA,NA
1496,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
1497,Functions,3.25,8.00,1.00,4.50,4.50,8.33,2.886751,4,2,0.873583598653467,NA,NA
1498,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
1499,Functions,1.00,16.00,-1.00,3.67,1.50,26.94,5.190489,18,2.816340113853408,NaN,NA,NA
1500,Functions,1.00,7.00,1.00,3.00,1.00,12.00,3.464102,3,0.9182958340544896,0.6223659728744494,NA,NA
1501,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
1502,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
1503,Functions,1.00,22.00,0.00,8.00,2.00,148.00,12.16553,3,1.584962500721156,NaN,NA,NA
1504,Functions,1.00,3.00,1.00,1.75,1.50,0.92,0.9574271,4,1.5,0.9211854965885542,NA,NA
1505,Functions,0.00,1.00,0.00,0.50,0.50,0.33,0.5773503,4,1,NaN,NA,NA
1506,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
1507,Functions,3.00,6.00,2.00,4.00,4.00,8.00,2.828427,2,1,0.8112781244591328,NA,NA
1508,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
1509,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
1510,Functions,7.00,10.00,6.00,8.00,8.00,8.00,2.828427,2,1,0.954434002924965,NA,NA
1511,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
1512,Functions,8.00,11.00,7.00,9.00,9.00,8.00,2.828427,2,1,0.964078764808229,NA,NA
1513,Functions,4.00,7.00,3.00,5.00,5.00,8.00,2.828427,2,1,0.8812908992306927,NA,NA
1514,Functions,0.50,3.00,0.00,1.33,1.00,2.33,1.527525,3,1.584962500721156,NaN,NA,NA
1515,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
1516,Functions,3.25,4.00,3.00,3.50,3.50,0.50,0.7071068,2,1,0.9852281360342515,NA,NA
1517,Functions,1.75,4.00,1.00,2.50,2.50,4.50,2.12132,2,1,0.7219280948873623,NA,NA
1518,Functions,0.50,5.00,0.00,2.00,1.00,7.00,2.645751,3,1.584962500721156,NaN,NA,NA
1519,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1520,Functions,8.50,25.00,3.00,14.00,14.00,242.00,15.55635,2,1,0.49123734182433315,NA,NA
1521,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
1522,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
1523,Functions,2.25,3.00,2.00,2.50,2.50,0.50,0.7071068,2,1,0.9709505944546686,NA,NA
1524,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,3,-0,NaN,NA,NA
1525,Functions,1.50,3.00,1.00,2.00,2.00,2.00,1.414214,2,1,0.8112781244591328,NA,NA
1526,Functions,1.00,4.00,0.00,2.00,2.00,8.00,2.828427,2,1,NaN,NA,NA
1527,Functions,3.00,3.00,3.00,3.00,3.00,0.00,0,2,-0,1,NA,NA
1528,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
1529,Functions,2.00,5.00,1.00,3.00,3.00,8.00,2.828427,2,1,0.6500224216483541,NA,NA
1530,Functions,2.00,9.00,0.00,4.33,4.00,20.33,4.50925,3,1.584962500721156,NaN,NA,NA
1531,Functions,18.25,55.00,6.00,30.50,30.50,1200.50,34.64823,2,1,0.4637773498877516,NA,NA
1532,Functions,18.25,55.00,6.00,30.50,30.50,1200.50,34.64823,2,1,0.4637773498877516,NA,NA
1533,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
1534,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
1535,Functions,4.00,4.00,4.00,4.00,4.00,0.00,0,2,-0,1,NA,NA
1536,Functions,1.75,4.00,1.00,2.50,2.50,4.50,2.12132,2,1,0.7219280948873623,NA,NA
1537,Functions,1.75,4.00,1.00,2.50,2.50,4.50,2.12132,2,1,0.7219280948873623,NA,NA
1538,Functions,0.75,3.00,0.00,1.50,1.50,4.50,2.12132,2,1,NaN,NA,NA
1539,Functions,10.00,10.00,10.00,10.00,10.00,0.00,0,2,-0,1,NA,NA
1540,Functions,10.00,10.00,10.00,10.00,10.00,0.00,0,2,-0,1,NA,NA
1541,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
1542,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
1543,Functions,0.75,2.00,0.00,1.00,1.00,0.67,0.8164966,4,1.5,NaN,NA,NA
1544,Functions,0.50,2.00,0.00,1.00,1.00,2.00,1.414214,2,1,NaN,NA,NA
1545,Functions,5.75,8.00,5.00,6.50,6.50,4.50,2.12132,2,1,0.9612366047228759,NA,NA
1546,Functions,8.00,8.00,8.00,8.00,8.00,0.00,0,2,-0,1,NA,NA
1547,Functions,3.25,4.00,3.00,3.50,3.50,0.50,0.7071068,2,1,0.9852281360342515,NA,NA
1548,Functions,1.50,3.00,1.00,2.00,2.00,1.00,1,3,1.584962500721156,0.9206198357143051,NA,NA
1549,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1550,Functions,0.00,3.00,0.00,1.40,2.00,1.80,1.341641,5,1.5219280948873621,NaN,NA,NA
1551,Functions,1.00,4.00,0.00,2.00,2.00,8.00,2.828427,2,1,NaN,NA,NA
1552,Functions,2.75,8.00,1.00,4.50,4.50,24.50,4.949747,2,1,0.5032583347756457,NA,NA
1553,Functions,4.00,4.00,4.00,4.00,4.00,0.00,0,2,-0,1,NA,NA
1554,Functions,20.00,74.00,2.00,38.00,38.00,2592.00,50.91169,2,1,0.17556502585750278,NA,NA
1555,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1556,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
1557,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1558,Functions,3.00,4.00,3.00,3.33,3.00,0.33,0.5773503,3,0.9182958340544896,0.9911594714322186,NA,NA
1559,Functions,3.00,3.00,3.00,3.00,3.00,0.00,0,2,-0,1,NA,NA
1560,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
1561,Functions,2.75,5.00,2.00,3.50,3.50,4.50,2.12132,2,1,0.863120568566631,NA,NA
1562,Functions,2.50,14.00,2.00,6.33,3.00,44.33,6.658328,3,1.584962500721156,0.6858128831725212,NA,NA
1563,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
1564,Functions,1.00,4.00,0.00,2.00,2.00,8.00,2.828427,2,1,NaN,NA,NA
1565,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1566,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1567,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
1568,Functions,2.50,7.00,1.00,4.00,4.00,18.00,4.242641,2,1,0.5435644431995964,NA,NA
1569,Functions,2.00,5.00,1.00,3.00,3.00,8.00,2.828427,2,1,0.6500224216483541,NA,NA
1570,Functions,5.00,14.00,2.00,8.00,8.00,72.00,8.485281,2,1,0.5435644431995964,NA,NA
1571,Functions,8.00,8.00,8.00,8.00,8.00,0.00,0,2,-0,1,NA,NA
1572,Functions,0.50,2.00,0.00,1.00,1.00,2.00,1.414214,2,1,NaN,NA,NA
1573,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
1574,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
1575,Functions,31.00,109.00,5.00,57.00,57.00,5408.00,73.53911,2,1,0.2597169275408664,NA,NA
1576,Functions,1.00,4.00,0.00,1.40,1.00,2.30,1.516575,5,1.3709505944546687,NaN,NA,NA
1577,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
1578,Functions,0.50,2.00,0.00,1.00,1.00,2.00,1.414214,2,1,NaN,NA,NA
1579,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
1580,Functions,11.00,11.00,11.00,11.00,11.00,0.00,0,2,-0,1,NA,NA
1581,Functions,4.25,5.00,4.00,4.50,4.50,0.50,0.7071068,2,1,0.9910760598382222,NA,NA
1582,Functions,4.25,5.00,4.00,4.50,4.50,0.50,0.7071068,2,1,0.9910760598382222,NA,NA
1583,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
1584,Functions,0.50,2.00,0.00,1.00,1.00,1.00,1,3,1.584962500721156,NaN,NA,NA
1585,Functions,4.75,16.00,1.00,8.50,8.50,112.50,10.6066,2,1,0.3227569588973982,NA,NA
1586,Functions,4.75,16.00,1.00,8.50,8.50,112.50,10.6066,2,1,0.3227569588973982,NA,NA
1587,Functions,4.75,16.00,1.00,8.50,8.50,112.50,10.6066,2,1,0.3227569588973982,NA,NA
1588,Functions,4.75,16.00,1.00,8.50,8.50,112.50,10.6066,2,1,0.3227569588973982,NA,NA
1589,Functions,1.50,3.00,1.00,2.00,2.00,2.00,1.414214,2,1,0.8112781244591328,NA,NA
1590,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
1591,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,3,-0,NaN,NA,NA
1592,Functions,-0.50,1.00,-1.00,0.00,0.00,1.00,1,3,1.584962500721156,NaN,NA,NA
1593,Functions,1.00,5.00,0.00,2.60,2.00,5.30,2.302173,5,1.9219280948873623,NaN,NA,NA
1594,Functions,1.50,3.00,1.00,2.00,2.00,1.00,1,3,1.584962500721156,0.9206198357143051,NA,NA
1595,Functions,1.00,3.00,0.00,1.67,2.00,2.33,1.527525,3,1.584962500721156,NaN,NA,NA
1596,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
1597,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
1598,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
1599,Functions,2.75,5.00,2.00,3.75,4.00,2.25,1.5,4,1.5,0.9543063494363562,NA,NA
1600,Functions,2.25,3.00,2.00,2.50,2.50,0.50,0.7071068,2,1,0.9709505944546686,NA,NA
1601,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,5,-0,1,NA,NA
1602,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
1603,Functions,0.50,2.00,0.00,1.00,1.00,2.00,1.414214,2,1,NaN,NA,NA
1604,Functions,1.00,5.00,1.00,2.33,1.00,5.33,2.309401,3,0.9182958340544896,0.72483409150576,NA,NA
1605,Functions,0.00,22.00,0.00,5.75,0.50,117.58,10.84358,4,1.5,NaN,NA,NA
1606,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
1607,Functions,2.25,9.00,0.00,4.50,4.50,40.50,6.363961,2,1,NaN,NA,NA
1608,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
1609,Functions,2.50,5.00,2.00,3.33,3.00,2.33,1.527525,3,1.584962500721156,0.9372305632161296,NA,NA
1610,Functions,2.50,4.00,2.00,3.00,3.00,2.00,1.414214,2,1,0.9182958340544896,NA,NA
1611,Functions,0.50,2.00,0.00,1.00,1.00,2.00,1.414214,2,1,NaN,NA,NA
1612,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
1613,Functions,-0.50,1.00,-1.00,0.00,0.00,1.00,1,3,1.584962500721156,NaN,NA,NA
1614,Functions,4.25,17.00,0.00,8.50,8.50,144.50,12.02082,2,1,NaN,NA,NA
1615,Functions,-0.75,0.00,-1.00,-0.50,-0.50,0.50,0.7071068,2,1,NaN,NA,NA
1616,Functions,3.25,10.00,1.00,5.50,5.50,40.50,6.363961,2,1,0.4394969869215134,NA,NA
1617,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
1618,Functions,2.50,4.00,2.00,3.00,3.00,2.00,1.414214,2,1,0.9182958340544896,NA,NA
1619,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
1620,Functions,3.50,163.00,0.00,56.67,7.00,8492.33,92.15386,3,1.584962500721156,NaN,NA,NA
1621,Functions,3.00,3.00,3.00,3.00,3.00,0.00,0,2,-0,1,NA,NA
1622,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
1623,Functions,9.75,39.00,0.00,19.50,19.50,760.50,27.57716,2,1,NaN,NA,NA
1624,Functions,7.00,7.00,7.00,7.00,7.00,0.00,0,2,-0,1,NA,NA
1625,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
1626,Functions,3.00,3.00,3.00,3.00,3.00,0.00,0,2,-0,1,NA,NA
1627,Functions,5.75,11.00,4.00,7.50,7.50,24.50,4.949747,2,1,0.8366407419411672,NA,NA
1628,Functions,1.00,11.00,0.00,4.33,2.00,34.33,5.859465,3,1.584962500721156,NaN,NA,NA
1629,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1630,Functions,2.00,4.00,2.00,2.50,2.00,1.00,1,4,0.8112781244591328,0.9609640474436811,NA,NA
1631,Functions,2.50,10.00,0.00,5.00,5.00,50.00,7.071068,2,1,NaN,NA,NA
1632,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1633,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,4,-0,1,NA,NA
1634,Functions,3.00,7.00,1.00,4.33,5.00,9.33,3.05505,3,1.584962500721156,0.8175195311866704,NA,NA
1635,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
1636,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
1637,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
1638,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,3,-0,NaN,NA,NA
1639,Functions,4.75,41.00,0.00,11.92,7.00,153.17,12.37636,12,3.2516291673878226,NaN,NA,NA
1640,Functions,2.50,7.00,1.00,4.00,4.00,18.00,4.242641,2,1,0.5435644431995964,NA,NA
1641,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
1642,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
1643,Functions,3.50,11.00,1.00,6.00,6.00,50.00,7.071068,2,1,0.41381685030363374,NA,NA
1644,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1645,Functions,4.00,4.00,4.00,4.00,4.00,0.00,0,2,-0,1,NA,NA
1646,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1647,Functions,0.00,1.00,0.00,0.33,0.00,0.33,0.5773503,3,0.9182958340544896,NaN,NA,NA
1648,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
1649,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1650,Functions,0.00,1.00,0.00,0.33,0.00,0.33,0.5773503,3,0.9182958340544896,NaN,NA,NA
1651,Functions,2.50,4.00,2.00,3.00,3.00,2.00,1.414214,2,1,0.9182958340544896,NA,NA
1652,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1653,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1654,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
1655,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
1656,Functions,0.75,3.00,0.00,1.50,1.50,4.50,2.12132,2,1,NaN,NA,NA
1657,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
