X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
1783,Blocks,6,2,18,10,10,128,11.31371,2
1784,Blocks,0.5,0,2,1,1,1,1,3
1785,Blocks,12,12,12,12,12,0,0,2
1786,Blocks,0,0,0,0,0,0,0,2
1787,Blocks,1,1,1,1,1,0,0,2
1788,Blocks,0,0,0,0,0,0,0,2
1789,Blocks,0,0,0,0,0,0,0,2
1790,Blocks,1,1,1,1,1,0,0,2
1791,Blocks,-0.75,-1,0,-0.5,-0.5,0.5,0.7071068,2
1792,Blocks,0,0,0,0,0,0,0,2
1793,Blocks,0,0,0,0,0,0,0,2
1794,Blocks,0,0,0,0,0,0,0,2
1795,Blocks,0,0,0,0,0,0,0,2
1796,Blocks,-1,-2,2,0,0,8,2.828427,2
1797,Blocks,2,2,2,2,2,0,0,2
1798,Blocks,0,0,0,0,0,0,0,2
1799,Blocks,0,0,0,0,0,0,0,2
1800,Blocks,0,0,0,0,0,0,0,2
1801,Blocks,1,1,1,1,1,0,0,2
1802,Blocks,-1,-1,-1,-1,-1,0,0,3
1803,Blocks,0,0,0,0,0,0,0,3
1804,Blocks,-1,-1,-1,-1,-1,0,0,3
1805,Blocks,0,0,0,0,0,0,0,2
1806,Blocks,0,0,0,0,0,0,0,2
1807,Blocks,1,1,1,1,1,0,0,2
1808,Blocks,0,0,0,0,0,0,0,2
1809,Blocks,3,3,3,3,3,0,0,2
1810,Blocks,-1,-2,0,-0.6666667,0,1.333333,1.154701,3
1811,Blocks,0.5,0,2,1,1,2,1.414214,2
1812,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
1813,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
1814,Blocks,0,0,0,0,0,0,0,2
1815,Blocks,2,2,2,2,2,0,0,2
1816,Blocks,0,0,0,0,0,0,0,2
1817,Blocks,-0.75,-1,0,-0.5,-0.5,0.5,0.7071068,2
1818,Blocks,0.5,0,2,1,1,2,1.414214,2
1819,Blocks,1,1,1,1,1,0,0,2
1820,Blocks,0,0,0,0,0,0,0,2
1821,Blocks,0,0,0,0,0,0,0,2
1822,Blocks,-1,-1,-1,-1,-1,0,0,2
1823,Blocks,-0.5,-1,1,0,0,2,1.414214,2
1824,Blocks,4,4,4,4,4,0,0,3
1825,Blocks,0,0,0,0,0,0,0,3
1826,Blocks,0,0,0,0,0,0,0,2
1827,Blocks,-1,-1,-1,-1,-1,0,0,2
1828,Blocks,1,1,1,1,1,0,0,2
1829,Blocks,2.25,1,6,3.5,3.5,12.5,3.535534,2
1830,Blocks,1,1,1,1,1,0,0,2
1831,Blocks,0.5,0,2,1,1,2,1.414214,2
1832,Blocks,1,1,1,1,1,0,0,2
1833,Blocks,0,0,0,0,0,0,0,2
1834,Blocks,5,5,5,5,5,0,0,2
