UserId,VoteTypeId,Percentile25,minValue,CloneGroupMax,EachGroup_Mean,EachGroup_Median,CloneGroupVariance,EachGroup_SD,elementNo
529630,Downvotes,1.5,1,15,6,2,61,7.81025,3
273200,Downvotes,3,3,3,3,3,0,0,2
40342,Downvotes,6,6,6,6,6,0,0,1
509477,Downvotes,14.75,7,38,22.5,22.5,480.5,21.92031,2
425532,Downvotes,10,10,10,10,10,0,0,1
217324,Downvotes,4.25,2,12,6.333333,5,14.66667,3.829708,6
367319,Downvotes,1,1,1,1,1,0,0,1
307767,Downvotes,1,1,10,3.4,2,14.3,3.781534,5
520394,Downvotes,4,4,4,4,4,0,0,1
614899,Downvotes,8,8,8,8,8,0,0,1
605744,Downvotes,1.25,1,82,11.7,3,623.7889,24.97577,10
571407,Downvotes,2,1,42,5.484848,3,61.38258,7.834703,33
13956,Downvotes,10,10,10,10,10,0,0,1
600500,Downvotes,4,2,10,6.2,7,10.2,3.193744,5
95361,Downvotes,5,5,5,5,5,0,0,1
139595,Downvotes,15,15,15,15,15,0,0,1
160811,Downvotes,12,12,12,12,12,0,0,1
642148,Downvotes,7,7,7,7,7,0,0,1
444810,Downvotes,11,11,11,11,11,0,0,1
488054,Downvotes,6,6,6,6,6,0,0,1
241022,Downvotes,6,6,6,6,6,0,0,1
396730,Downvotes,2,2,2,2,2,0,0,1
343955,Downvotes,18.25,5,58,31.5,31.5,1404.5,37.47666,2
630231,Downvotes,2,2,2,2,2,0,0,1
242348,Downvotes,2,2,2,2,2,0,0,1
264043,Downvotes,10,10,10,10,10,0,0,1
584597,Downvotes,105,105,105,105,105,0,0,1
