PostId,ClassType,NoOfLines,Similarity,CodeChar
19416569,1,11,70,218
18094226,1,11,70,249
15807733,1,11,70,413
36051377,1,11,70,497
14593678,1,11,70,251
31838296,1,11,70,362
25953472,1,11,70,278
5842360,1,11,70,212
2418791,1,11,70,215
1623755,1,11,70,148
16105665,1,11,70,177
14498382,1,11,70,241
14610522,1,11,70,309
32719379,1,11,70,271
10165201,1,11,70,208
18468364,1,11,70,299
8422347,1,11,70,360
21443606,1,11,70,268
42163468,1,11,70,275
2855481,1,11,70,541
25953472,1,11,70,249
21714436,1,11,70,267
27579236,1,11,70,257
36645938,1,11,70,482
29547791,1,11,70,318
18003862,1,11,70,273
25795541,1,11,70,369
39339754,1,11,70,611
17964303,1,11,70,301
18003862,1,11,70,236
38158559,1,11,70,551
24007137,1,11,70,232
41608074,1,11,70,274
53744288,1,11,70,581
2691835,1,11,70,284
17003206,1,11,70,249
8560935,1,11,70,233
35406719,1,11,70,242
35256919,1,11,70,260
20405726,1,11,70,246
17640587,1,11,70,351
18682333,1,11,70,382
17628414,1,11,70,420
34305937,1,11,70,515
18048703,1,11,70,239
18048703,1,11,70,295
38508966,1,11,70,377
15648088,1,11,70,339
47447008,1,11,70,264
25953472,1,11,70,275
44400966,1,11,70,229
25334793,1,11,70,273
27683817,1,11,70,273
20414275,1,11,70,341
29914411,1,11,70,360
7583871,1,11,70,322
11921878,1,11,70,343
7855700,1,11,70,278
3601565,1,11,70,232
34241375,1,11,70,323
32152745,1,11,70,366
6088195,1,11,70,324
32862038,1,11,70,286
42758012,1,11,70,338
15432843,1,11,70,328
4443878,1,11,70,362
11925539,1,11,70,313
12032895,1,11,70,309
17247881,1,11,70,250
41091420,1,11,70,306
28577302,1,11,70,567
44576327,1,11,70,356
30129827,1,11,70,496
8542054,1,11,70,353
34149824,1,11,70,270
47160345,1,11,70,313
42250330,1,11,70,292
13656331,1,11,70,305
34512725,1,11,70,283
16410336,1,11,70,447
10846433,1,11,70,200
273641,1,11,70,191
8413076,1,11,70,279
41459644,1,11,70,629
47529808,1,11,70,406
37503526,1,11,70,291
35686765,1,11,70,292
47389568,1,11,70,405
46008251,1,11,70,294
17241857,1,11,70,287
22213108,1,11,70,305
52607210,1,11,70,268
38920581,1,11,70,283
16134011,1,11,70,137
9650175,1,11,70,297
25012887,1,11,70,255
37507569,1,11,70,285
8708473,1,11,70,319
10742634,1,11,70,277
16007644,1,11,70,331
976243,1,11,70,296
41483316,1,11,70,281
9177796,1,11,70,348
564589,1,11,70,213
31349697,1,11,70,347
47796324,1,11,70,315
38730964,1,11,70,324
25218343,1,11,70,258
29330053,1,11,70,430
26948013,1,11,70,306
25349164,1,11,70,255
22639787,1,11,70,278
25346998,1,11,70,305
29615994,1,11,70,420
4872520,1,11,70,262
2484425,1,11,70,200
2479295,1,11,70,200
19591874,1,11,70,334
33632710,1,11,70,461
37265092,1,11,70,303
41948487,1,11,70,327
11512663,1,11,70,529
16099266,1,11,70,369
35812441,1,11,70,320
6205171,1,11,70,305
27905737,1,11,70,243
47079871,1,11,70,387
27784767,1,11,70,234
34051985,1,11,70,346
34051985,1,11,70,380
34051985,1,11,70,386
4926681,1,11,70,243
32060965,1,11,70,247
35986218,1,11,70,266
10963886,1,11,70,347
22749162,1,11,70,264
38848110,1,11,70,380
5917818,1,11,70,475
